,Title,Category,Room Count,Floor,Area,Updated At,Price,Location
0,BU DÖNEMI IYI DEĞERLENDIRMEK GEREK DAIRE KALMADI,homeDaire,weekend2+1,layersYüksek giriş,texture95 m2,event21 Ağustos,1.390.000 TL,İstanbul - Esenyurt - Selahaddin Eyyubi Mh.
1,YILDIRIM MAHALLESİNDE YERDEN ISITMALI ULTRA LÜKS 2+1 BAHÇE KAT DA,homeDaire,weekend2+1,layersBahçe katı,texture90 m2,event21 Ağustos,3.650.000 TL,İstanbul - Bayrampaşa - Yıldırım Mh.
2,YILDIRIM MAHALLESİNDE 2+1 90m2 YERDEN ISITMALI YÜKSEK GİRİŞ DAİRE,homeDaire,weekend2+1,layersYüksek giriş,texture90 m2,event21 Ağustos,5.650.000 TL,İstanbul - Bayrampaşa - Yıldırım Mh.
3,Satılık Yatırımlık Dublex,homeDaire,weekend2+1,layers4. Kat,texture120 m2,event20 Ağustos,3.000.000 TL,İstanbul - Çatalca - Ferhatpaşa Mh.
4,SANCAKTEPE EYÜPSULTAN MAH. ÇOK KULLANIŞLI 115 M2 3+1 ARAKAT,homeDaire,weekend3+1,layers1. Kat,texture115 m2,event20 Ağustos,3.840.000 TL,İstanbul - Sancaktepe - Eyüp Sultan Mh.
5,DUMANKAYA ALTIN KOZA SİTESİNDE 2+1 DAİRE ( VİDEO YÜKLÜ),homeDaire,weekend2+1,layersDüz Giriş (Zemin),texture115 m2,event20 Ağustos,5.250.000 TL,İstanbul - Çekmeköy - Merkez Mh.
6,FATİH KARAGÜMRÜK MAH VATAN CAD ÜSTÜ KAT 4 KELEPİR 2.1 DAİRE,homeDaire,weekend2+1,layers4. Kat,texture85 m2,event19 Ağustos,2.800.000 TL,İstanbul - Fatih - Karagümrük Mh.
7,Ataşehir İçerenköy Mahallesinde Metroya Yakın Eşyalı Yatırımlık D,homeDaire,weekend2+1,layersBahçe katı,texture95 m2,event19 Ağustos,3.550.000 TL,İstanbul - Ataşehir - İçerenköy Mh.
8,FARK EMLAK'tan Fevzipaşa Arkası Köşe Binada Satılık Daire,homeDaire,weekend3+1,layers4. Kat,texture100 m2,event18 Ağustos,4.200.000 TL,İstanbul - Fatih - Atikali Mh.
9,KELEPİRRRR !! GÜZEL KONUMDA  1+1 YATIRIMLIK  DÜZ GİRİŞ DAİRE,homeDaire,weekend1+1,layersDüz Giriş (Zemin),texture65 m2,event18 Ağustos,925.000 TL,İstanbul - Bahçelievler - Zafer Mh.
10,BÜYÜKÇEKMEÇ PINARTEPE MH AMERKAN MUTFAK 2+1 AYDNLK DAİRE,homeDaire,weekend2+1,layersYüksek giriş,texture110 m2,event20 Ağustos,2.430.000 TL,İstanbul - Büyükçekmece - Pınartepe Mh.
11,2+1 BİTMİŞ DAİRE ÖDÜL İSTANBUL ÇOOOK UYGUN SAKIN KAÇIRMA,homeDaire,weekend2+1,layers30. Kat,texture100 m2,event17 Ağustos,2.475.000 TL,İstanbul - Esenyurt - Gökevler Mh.
12,CEVATPAŞA MAHALLESİ 2+1 72m2 YERDEN ISITMALI BAHÇE KATI DAİRE,homeDaire,weekend2+1,layersBahçe katı,texture77 m2,event19 Ağustos,2.500.000 TL,İstanbul - Bayrampaşa - Cevatpaşa Mh.
13,TÜRKMEN EMLAKTAN SATILIK 2+1 BAĞIMSIZ GİRİŞLİ BAHÇE KAT,homeDaire,weekend2+1,layersBahçe katı,texture85 m2,event19 Ağustos,1.625.000 TL,İstanbul - Sultangazi - Gazi Mh.
14,TÜRKMEN EMLAK'TA GENİŞ TERASLI ASANSÖRLÜ 2+1 SATILIK DAİRE,homeDaire,weekend2+1,layers4. Kat,texture140 m2,event19 Ağustos,4.080.000 TL,İstanbul - Sultangazi - Gazi Mh.
15,FATİH BEYAZIT MEYDANA 400mt GEDİKPAŞA DA 1 HAFTALIK FİYAT!!,homeBina,weekend1 Oda,N/A,texture520 m2,event19 Ağustos,22.000.000 TL,İstanbul - Fatih - Mimar Hayrettin Mh.
16,Yeni binada satılık 125m2 dublex daire,homeDaire,weekend2+2,layers5. Kat,texture130 m2,event16 Ağustos,7.000.000 TL,İstanbul - Bahçelievler - Zafer Mh.
17,ÜÇ KARDEŞLER'DEN ESENTEPE MH'DE SATILIK 2+1 10M2 MASRAFSIZ SÜPER,homeDaire,weekend2+1,layersÇatı katı,texture100 m2,event19 Ağustos,2.400.000 TL,İstanbul - Sultangazi - Esentepe Mh.
18,BAŞKENT YAPI'DAN METROBÜSE 8 DK MESAFEDE 2+1 ÖN CEPHE ARA KAT,homeDaire,weekend2+1,layers4. Kat,texture110 m2,event20 Ağustos,2.550.000 TL,İstanbul - Esenyurt - Güzelyurt Mh.
19,CİTY EMLAK’TAN TURGUTREİS MAH (35 M2) HİSSELİ FIRSAT DAİRE,homeDaire,weekend2+1,layers1. Kat,texture135 m2,event15 Ağustos,2.150.000 TL,İstanbul - Esenler - Turgut Reis Mh.
